Español;Ingles
Gire a la derecha en la segunda bocacalle y continúe hasta que la calle se estreche.;Turn right at the second side street and continue until the road narrows.
Atraviese la zona residencial prestando atención a los reductores de velocidad de la calzada.;Go through the residential area paying attention to the speed bumps on the road.
La oficina de correos queda exactamente enfrente del monumento ecuestre de la plaza.;The post office is located exactly opposite the equestrian monument in the square.
Siga por el sendero pavimentado que bordea el acantilado para disfrutar de las vistas.;Follow the paved path lining the cliffside to enjoy the views.
Suba en el ascensor panorámico y bájese en la planta del ático.;Take the scenic elevator and get off at the penthouse floor.
El destino final se encuentra ubicado a escasos metros de la antigua muralla romana.;The final destination is located just a few meters from the ancient Roman wall.
Gire a la izquierda inmediatamente después del puesto de control de seguridad.;Turn left immediately after the security checkpoint.
Siga recto por la avenida arbolada hasta que vislumbre la cúpula de la basílica.;Go straight down the tree-lined avenue until you catch sight of the basilica's dome.
Para llegar al muelle, descienda por el sendero escalonado de piedra caliza.;To reach the pier, descend the terraced limestone path.
Cruce el vestíbulo de entrada y diríjase hacia el ala oeste del edificio corporativo.;Cross the entrance lobby and head toward the west wing of the corporate building.
El centro de convenciones está situado adyacente al hotel de cinco estrellas.;The convention center is located adjacent to the five-star hotel.
Gire a la derecha en la bifurcación y manténgase en la vía de servicio.;Turn right at the fork and remain on the service road.
Camine en dirección contraria al viento si se encuentra cerca del paseo costero.;Walk against the wind if you are near the coastal path.
Siga la calzada de doble sentido hasta pasar el desvío hacia la zona industrial.;Follow the two-way road until you pass the turn-off for the industrial area.
El acceso peatonal está restringido, por lo que debe rodear el complejo industrial.;Pedestrian access is restricted, so you must bypass the industrial complex.
Suba la rampa de acceso para vehículos y encontrará la zona de carga a su izquierda.;Go up the vehicle access ramp and you will find the loading area on your left.
El hotel se encuentra ubicado estratégicamente a medio camino entre el aeropuerto y el centro.;The hotel is strategically located halfway between the airport and the city center.
Gire a la izquierda en la esquina donde se sitúa el edificio histórico de ladrillo rojo.;Turn left at the corner where the historic red-brick building is located.
Cruce el puente peatonal que se eleva sobre el transitado nudo de autopistas.;Cross the footbridge that rises over the busy highway junction.
